TAG,DUPLICATION TEXT,NUMBER OF DUPLICATION,URL
TITLE,Japan JISC Issues New Voluntary Standard for Cords & Drawstrings on Children's Clothing,2,"#
http://www.asiainspection.com/regulatory-updates/March-2016/japan-drawstrings
https://www.asiainspection.com/regulatory-updates/March-2016/japan-drawstrings"
TITLE,Japan JTA Issues New Toy Safety Standard,2,"#
http://www.asiainspection.com/regulatory-updates/March-2016/japan-toy-safety
https://www.asiainspection.com/regulatory-updates/March-2016/japan-toy-safety"
TITLE,Japan MHLW Approves Amendment on the JFSL Regarding Food Contact PEN Materials,2,"#
http://www.asiainspection.com/regulatory-updates/August-2016/japan-food-contact-materials
https://www.asiainspection.com/regulatory-updates/August-2016/japan-food-contact-materials"
TITLE,Japan Proposes Amendment on the JFSL Regarding Food Contact PEN Materials,2,"#
http://www.asiainspection.com/regulatory-updates/April-2016/japan-food-materials
https://www.asiainspection.com/regulatory-updates/April-2016/japan-food-materials"
TITLE,Japan Regulation Restricting Azo Dyes in Household Products Comes Into Force,2,"#
https://www.asiainspection.com/regulatory-updates/March-2016/japan-azo
http://www.asiainspection.com/regulatory-updates/March-2016/japan-azo"
TITLE,Korea Proposes Amendment of Toys and Children’s Products Safety Standards,2,"#
https://www.asiainspection.com/regulatory-updates/November-2016/nov2016-korea-toy-safety-standards
http://www.asiainspection.com/regulatory-updates/November-2016/nov2016-korea-toy-safety-standards"
TITLE,"Lab Testing & Inspections for Optical Lenses | AsiaInspection – Quality Assurance, Safety & Compliance ",2,"#
http://www.asiainspection.com/testing/optical-lenses
https://www.asiainspection.com/testing/optical-lenses"
TITLE,Lab Testing & Safety Standard Inspection for Toys & Recreational Items | AsiaInspection ,2,"#
https://www.asiainspection.com/testing/toy-safety-and-lab-testing
http://www.asiainspection.com/testing/toy-safety-and-lab-testing"
TITLE,"Lab Testing, Quality Control and Ethical Audits for the Jewelry Industry | AsiaInspection – Quality Assurance, Safety & Compliance ",2,"#
https://www.asiainspection.com/testing/jewelry
http://www.asiainspection.com/testing/jewelry"
TITLE,Manufacturing Audit & Supplier Evaluation | Quality Assurance Services,2,"#
http://www.asiainspection.com/manufacturing-audit
https://www.asiainspection.com/manufacturing-audit"
TITLE,Manufacturing Audit Report Sample | AsiaInspection – Manufacturing Audit Example,2,"#
https://www.asiainspection.com/samplereport/manufacturing-audit-report
http://www.asiainspection.com/samplereport/manufacturing-audit-report"
TITLE,"Meat & Poultry – Inspections, Testing & Audits | AsiaInspection – Quality Control for Meat & Poultry Products ",2,"#
http://www.asiainspection.com/testing/meat-poultry
https://www.asiainspection.com/testing/meat-poultry"
TITLE,Mexico Approves Food Contact Materials Standard,2,"#
http://www.asiainspection.com/regulatory-updates/January-2017/mexico-approves-food-contact-materials
https://www.asiainspection.com/regulatory-updates/January-2017/mexico-approves-food-contact-materials"
TITLE,Mexico DOF Proposes Draft Standard Establishing Limit for Formaldehyde Emission & Content in Wood Particle Board/Fiberboard,2,"#
http://www.asiainspection.com/regulatory-updates/June-2016/mexico-fiberboard
https://www.asiainspection.com/regulatory-updates/June-2016/mexico-fiberboard"
TITLE,Minnesota Proposes Bills HF 2761 & 2717 to Amend Statutes Concerning Priority Chemicals Reporting Rules & Their Prohibition,2,"#
https://www.asiainspection.com/regulatory-updates/May-2016/minnesota-priority-chemicals
http://www.asiainspection.com/regulatory-updates/May-2016/minnesota-priority-chemicals"
TITLE,Modern Day Slavery in Supply Chains & Consumer Awareness | AsiaInspection - Whitepaper,2,"#
http://www.asiainspection.com/whitepaper/Modern-Slavery
https://www.asiainspection.com/whitepaper/Modern-Slavery"
TITLE,New Jersey Proposes BPA Prohibition in Food and Beverage Packaging & Containers,2,"#
https://www.asiainspection.com/regulatory-updates/April-2016/new-jersey-bpa
http://www.asiainspection.com/regulatory-updates/April-2016/new-jersey-bpa"
TITLE,"New Jersey State Proposes Prohibition on Sale of Certain Children's Products Containing Lead, Mercury or Cadmium",2,"#
https://www.asiainspection.com/regulatory-updates/March-2016/new-jersey-prohibition
http://www.asiainspection.com/regulatory-updates/March-2016/new-jersey-prohibition"
TITLE,New Zealand Adopts Updated Standard for Children's Nightwear & Limited Daywear Garments,2,"#
https://www.asiainspection.com/regulatory-updates/April-2016/nz-children-nightwear
http://www.asiainspection.com/regulatory-updates/April-2016/nz-children-nightwear"
TITLE,New Zealand Prohibits the Importation of Asbestos Containing Products,2,"#
https://www.asiainspection.com/regulatory-updates/August-2016/new-zealand-prohibits-asbestos
http://www.asiainspection.com/regulatory-updates/August-2016/new-zealand-prohibits-asbestos"
TITLE,New Zealand Proposes Adoption of New Safety Standard for Children's Nightwear,2,"#
https://www.asiainspection.com/regulatory-updates/March-2016/new-zealand-nightwear
http://www.asiainspection.com/regulatory-updates/March-2016/new-zealand-nightwear"
TITLE,OEHHA Issues Supplemental Finding of Emergency Proposing Warning for Exposures to BPA in Canned & Bottled Foods & Beverages,2,"#
https://www.asiainspection.com/regulatory-updates/May-2016/california-bottled-foods-and-beverages
http://www.asiainspection.com/regulatory-updates/May-2016/california-bottled-foods-and-beverages"
TITLE,OEHHA Proposes Amendment on California Code of Regulation Concerning BPA in Canned & Bottled Foods & Beverages,2,"#
https://www.asiainspection.com/regulatory-updates/April-2016/california-bpa
http://www.asiainspection.com/regulatory-updates/April-2016/california-bpa"
TITLE,Omnichannel Retail & The Quality Risk | AsiaInspection,2,"#
http://www.asiainspection.com/whitepaper/omnichannel-retail-risk
https://www.asiainspection.com/whitepaper/omnichannel-retail-risk"
TITLE,Philippines Proposes Amendment to the Consumer Act of the Philippines Regarding Consumer Products Labeling,2,"#
https://www.asiainspection.com/regulatory-updates/November-2016/philippines-consumer-products-labeling
http://www.asiainspection.com/regulatory-updates/November-2016/philippines-consumer-products-labeling"
TITLE,"Philippines Proposes New Chemical Requirements for Toys, School Supplies and Childcare Articles",2,"#
https://www.asiainspection.com/regulatory-updates/September-2016/philippines-school-supplies
http://www.asiainspection.com/regulatory-updates/September-2016/philippines-school-supplies"
TITLE,Philippines Proposes New Toys Labeling Requirement,2,"#
http://www.asiainspection.com/regulatory-updates/September-2016/philippines-toy-labeling
https://www.asiainspection.com/regulatory-updates/September-2016/philippines-toy-labeling"
TITLE,Phthalate Testing: 25% of Made in China Toys Not Phthalate Free | Asia Inspection,2,"#
http://www.asiainspection.com/phthalate-toys-laboratory-testing
https://www.asiainspection.com/phthalate-toys-laboratory-testing"
TITLE,Pre Production Inspection - Initial Production Check (IPC),2,"#
http://www.asiainspection.com/initial-production-check
https://www.asiainspection.com/initial-production-check"
TITLE,Pre Shipment Inspection (PSI) Services & Certificates,2,"#
https://www.asiainspection.com/pre-shipment-inspection
http://www.asiainspection.com/pre-shipment-inspection"
TITLE,Pre-Shipment Inspection (PSI) Report Sample | AsiaInspection – Pre Dispatch Report Example,2,"#
http://www.asiainspection.com/samplereport/pre-shipment-inspection-report
https://www.asiainspection.com/samplereport/pre-shipment-inspection-report"
TITLE,President Obama Signs and Approves TSCA Reform Bill,2,"#
https://www.asiainspection.com/regulatory-updates/July-2016/obama-signs-reform-bill
http://www.asiainspection.com/regulatory-updates/July-2016/obama-signs-reform-bill"
TITLE,Press Release: AI Acquires Anesco - Product Testing Boost for Toy Manufacturers Worldwide | AsiaInspection News,2,"#
https://www.asiainspection.com/asia-inspection-news/Anseco_Announcement
http://www.asiainspection.com/asia-inspection-news/Anseco_Announcement"
TITLE,Product Inspection - Quality Control in Manufacturing Process | AsiaInspection – Quality Control Services,2,"#
http://www.asiainspection.com/quality-control-services/product-and-manufacturing-inspections
https://www.asiainspection.com/quality-control-services/product-and-manufacturing-inspections"
TITLE,Product Inspection Agency - Market Leader in Quality Control Online | AsiaInspection,2,"#
https://www.asiainspection.com/who-we-are
http://www.asiainspection.com/who-we-are"
TITLE,Production Monitoring & Quality Control | Process & Product Assurance,2,"#
http://www.asiainspection.com/production-monitoring
https://www.asiainspection.com/production-monitoring"
TITLE,Production Monitoring Report Sample | AsiaInspection – Quality Control for Manufacturing,2,"#
http://www.asiainspection.com/samplereport/production-monitoring-report
https://www.asiainspection.com/samplereport/production-monitoring-report"
TITLE,QCA 2017 Member Testing Program - AsiaInspection.com,2,"#
http://www.asiainspection.com/qca-member-discount
https://www.asiainspection.com/qca-member-discount"
TITLE,Quality Assurance Services for Products | AsiaInspection – Supply Chain Solutions,2,"#
http://www.asiainspection.com/quality-assurance-services
https://www.asiainspection.com/quality-assurance-services"
TITLE,Quality Control Inspection and Audit Testimonials | AsiaInspection,2,"#
http://www.asiainspection.com/asiainspection-testimonials
https://www.asiainspection.com/asiainspection-testimonials"
TITLE,Quality Control Services By Industry | AsiaInspection.com,2,"#
https://www.asiainspection.com/quality-control-services-by-industry
http://www.asiainspection.com/quality-control-services-by-industry"
TITLE,Quality Control Services Worldwide - Contact Us for More Details | AsiaInspection,2,"#
https://www.asiainspection.com/contact-us
http://www.asiainspection.com/contact-us"
TITLE,"Quality Control Services for the Cosmetics Industry | Inspections, Lab Testing, Factory and Ethical Audits | AsiaInspection.com ",2,"#
https://www.asiainspection.com/testing/cosmetics
http://www.asiainspection.com/testing/cosmetics"
TITLE,Quality Control Services in Vietnam: Inspection Agencies in Vietnam | Asia Inspection,2,"#
https://www.asiainspection.com/quality-control-vietnam
http://www.asiainspection.com/quality-control-vietnam"
TITLE,"Quality Control for Processed Food - Testing, Inspections & Audits | AsiaInspection – QC for Food Processing Industry ",2,"#
https://www.asiainspection.com/testing/quality-control-for-processed-food
http://www.asiainspection.com/testing/quality-control-for-processed-food"
TITLE,"Quality Control for Ready Made Reading Glasses | AsiaInspection - Quality Assurance, Safety & Compliance ",2,"#
http://www.asiainspection.com/testing/reading-glasses
https://www.asiainspection.com/testing/reading-glasses"
TITLE,"Quality Control in China: Product Inspections, Audits & Lab Testing | AsiaInspection",2,"#
https://www.asiainspection.com/quality-control-in-china
http://www.asiainspection.com/quality-control-in-china"
TITLE,Quick Guide: Carcinogenic Azo Dyes and the Risks to Retailers and Consumers,2,"#
http://www.asiainspection.com/whitepaper/quick-guide-azo-dyes
https://www.asiainspection.com/whitepaper/quick-guide-azo-dyes"
TITLE,Quick Guide: How to Prevent Foodborne Viruses | AsiaInspeciton,2,"#
http://www.asiainspection.com/whitepaper/foodborne-viruses
https://www.asiainspection.com/whitepaper/foodborne-viruses"
TITLE,REACH Report Sample - Chemical Safety Laboratory Testing | AsiaInspection,2,"#
https://www.asiainspection.com/samplereport/reach-certification
http://www.asiainspection.com/samplereport/reach-certification"
TITLE,REACH – Candidate List Expanded to Include New SVHC,2,"#
https://www.asiainspection.com/regulatory-updates/July-2017/july2017-reach-candidate-list-expanded-svhc
http://www.asiainspection.com/regulatory-updates/July-2017/july2017-reach-candidate-list-expanded-svhc"
TITLE,REACH – Candidate List Expanded to Include New SVHCs,2,"#
http://www.asiainspection.com/regulatory-updates/February-2017/feb2017-reach-candidate-list-new-svhcs
https://www.asiainspection.com/regulatory-updates/February-2017/feb2017-reach-candidate-list-new-svhcs"
TITLE,REACH –Publication of Updated Harmonised Standards for Nickel Release,2,"#
http://www.asiainspection.com/regulatory-updates/February-2017/feb2017-reach-nickel
https://www.asiainspection.com/regulatory-updates/February-2017/feb2017-reach-nickel"
TITLE,"REACH: Compliance Testing & Certification | Registration, Evaluation, Authorization & Restriction of Chemicals",2,"#
http://www.asiainspection.com/reach-testing
https://www.asiainspection.com/reach-testing"
TITLE,Recall Cases Summary Europe Recalls Summary (August and September 2016),2,"#
http://www.asiainspection.com/regulatory-updates/October-2016/europe-recall-summary
https://www.asiainspection.com/regulatory-updates/October-2016/europe-recall-summary"
TITLE,Regulatory Updates - Product Safety Standards & Regulations,2,"#
https://www.asiainspection.com/regulatory-updates
http://www.asiainspection.com/regulatory-updates"
TITLE,RoHS: Compliance & Certification - Laboratory Testing | RoHS EEE - Electrical & Electronic Equipment,2,"#
http://www.asiainspection.com/rohs-testing
https://www.asiainspection.com/rohs-testing"
TITLE,SASO CoC Certifications (Certificate of Conformity) |AsiaInspection - Saudi Arabia Compliance,2,"#
https://www.asiainspection.com/testing/saso-certificate-of-conformity
http://www.asiainspection.com/testing/saso-certificate-of-conformity"
TITLE,"Safety & Compliance of Eyewear & PPE in EU: REACH, CE Marking & Other Requirements | AsiaInspection",2,"#
https://www.asiainspection.com/eu-reach-compliance-eyewear-ppe
http://www.asiainspection.com/eu-reach-compliance-eyewear-ppe"
TITLE,San Francisco to Prohibit Sale of Certain Polystyrene Foam Products,2,"#
http://www.asiainspection.com/regulatory-updates/August-2016/san-fran-polystyrene
https://www.asiainspection.com/regulatory-updates/August-2016/san-fran-polystyrene"
TITLE,"Saudi Arabia Standard SASO 2870/2015 Energy Efficiency, Functionality & Labelling Requirements for Lighting Products, Part 1 Enters into Force",2,"#
http://www.asiainspection.com/regulatory-updates/May-2016/saudi-arabia-labelling-requirements
https://www.asiainspection.com/regulatory-updates/May-2016/saudi-arabia-labelling-requirements"
TITLE,"Seafood Testing, Inspections & Audits | AsiaInspection – Quality Control Services ",2,"#
https://www.asiainspection.com/testing/seafood
http://www.asiainspection.com/testing/seafood"
TITLE,Singapore Approves RoHS Regulation for EEE Products,2,"#
https://www.asiainspection.com/regulatory-updates/September-2016/singapore-rohs-eee-products
http://www.asiainspection.com/regulatory-updates/September-2016/singapore-rohs-eee-products"
TITLE,South Africa Issues Notice to Adopt Standards,2,"#
http://www.asiainspection.com/regulatory-updates/January-2017/south-africa-notice-to-adopt-standards
https://www.asiainspection.com/regulatory-updates/January-2017/south-africa-notice-to-adopt-standards"
TITLE,"Spectacle Frame Testing – HOKLAS Accredited Labs | AsiaInspection - Quality Assurance, Safety & Compliance ",2,"#
https://www.asiainspection.com/testing/spectacle-frames
http://www.asiainspection.com/testing/spectacle-frames"
TITLE,"Sports Eyewear Testing – HOKLAS Accredited Labs | AsiaInspection - Quality Assurance, Safety & Compliance ",2,"#
http://www.asiainspection.com/testing/sports-eyewear-goggles
https://www.asiainspection.com/testing/sports-eyewear-goggles"
TITLE,State of California Proposition 65: Recent 60-Day Notices,2,"#
https://www.asiainspection.com/regulatory-updates/September-2017/sept2017-california-prop65-60-day-notices
http://www.asiainspection.com/regulatory-updates/September-2017/sept2017-california-prop65-60-day-notices"
TITLE,State of New York Albany County Enforces the Updated Toxic Free Toys Act,2,"#
http://www.asiainspection.com/regulatory-updates/September-2017/sept2017-new-york-enforces-toxic-free-toys
https://www.asiainspection.com/regulatory-updates/September-2017/sept2017-new-york-enforces-toxic-free-toys"
TITLE,Structural Audit Report Sample | AsiaInspection – Building Inspections & Audits,2,"#
https://www.asiainspection.com/samplereport/structural-audit
http://www.asiainspection.com/samplereport/structural-audit"
TITLE,Structural Audits & Factory Safety – Securing Your Supply Chain | AsiaInspection – Whitepaper,2,"#
https://www.asiainspection.com/whitepaper/structural-safety
http://www.asiainspection.com/whitepaper/structural-safety"
TITLE,Structural Audits - Building & Factory Structural Safety Check,2,"#
https://www.asiainspection.com/structural-audits
http://www.asiainspection.com/structural-audits"
TITLE,"Summary: Consumer Product Safety Commission Recent Recalls, Jan - April 2016",2,"#
https://www.asiainspection.com/regulatory-updates/May-2016/us-recalls-summary
http://www.asiainspection.com/regulatory-updates/May-2016/us-recalls-summary"
TITLE,Summary: Recalls & Safety Alerts in Canada | Jan - April 2016 ,2,"#
http://www.asiainspection.com/regulatory-updates/May-2016/canada-recalls-summary
https://www.asiainspection.com/regulatory-updates/May-2016/canada-recalls-summary"
TITLE,Supplier Audit Program |AsiaInspection – Supply Chain Quality Control,2,"#
http://www.asiainspection.com/quality-control-services/supplier-audit-programs
https://www.asiainspection.com/quality-control-services/supplier-audit-programs"
TITLE,Supply Chain Partners | AsiaInspection.com,2,"#
http://www.asiainspection.com/asia-inspection-partners
https://www.asiainspection.com/asia-inspection-partners"
TITLE,Supply Chain Quality Control – Industry News | AsiaInspection,2,"#
https://www.asiainspection.com/asia-inspection-news
http://www.asiainspection.com/asia-inspection-news"
TITLE,Taiwan BSMI Updates Test Standard for Secondary Lithium Batteries,2,"#
https://www.asiainspection.com/regulatory-updates/August-2017/aug2017-taiwan-bsmi-lithium-batteries
http://www.asiainspection.com/regulatory-updates/August-2017/aug2017-taiwan-bsmi-lithium-batteries"
TITLE,Taiwan MOHW Issues Notice Related to Labeling Requirements for Food Contact Materials,2,"#
http://www.asiainspection.com/regulatory-updates/June-2016/taiwan-food-contact
https://www.asiainspection.com/regulatory-updates/June-2016/taiwan-food-contact"
TITLE,Take a 360° Tour of Lab Testing Facilities Worldwide - AsiaInspection.com,2,"#
http://www.asiainspection.com/our-labs
https://www.asiainspection.com/our-labs"
TITLE,"Technical Inspection, Audit & Training Services - Mechanical QC | AsiaInspection ",2,"#
http://www.asiainspection.com/industry-techparts
https://www.asiainspection.com/industry-techparts"
TITLE,Testing & Quality Control for Promotional Products | AsiaInspection – 3rd Party Inspections for Gift & Premium Marketing Items ,2,"#
http://www.asiainspection.com/testing/promotional-products
https://www.asiainspection.com/testing/promotional-products"
TITLE,Textile & Garment Brands: Tips for Avoiding Bug Infestations in Your Products,2,"#
https://www.asiainspection.com/whitepaper/bug-infestations
http://www.asiainspection.com/whitepaper/bug-infestations"
TITLE,Textile Testing & Quality Control - Inspection & Laboratory Services ,2,"#
http://www.asiainspection.com/industry-softline
https://www.asiainspection.com/industry-softline"
TITLE,Thailand Implements New Requirements for Food Nutrition Labeling,2,"#
https://www.asiainspection.com/regulatory-updates/September-2016/thailand-food-labeling
http://www.asiainspection.com/regulatory-updates/September-2016/thailand-food-labeling"
TITLE,The Economic Benefits of Building an Ethical Supply Chain | AsiaInspection - Whitepaper,2,"#
http://www.asiainspection.com/whitepaper/ethical-supply-chains
https://www.asiainspection.com/whitepaper/ethical-supply-chains"
TITLE,The Five Golden Rules to a Successful Quality Control Outsourcing Program,2,"#
http://www.asiainspection.com/whitepaper/5-golden-rules-for-successful-QC
https://www.asiainspection.com/whitepaper/5-golden-rules-for-successful-QC"
TITLE,The Thailand Ministry of Public Health Introduces New Labeling Requirements for Prepackaged Foods,2,"#
https://www.asiainspection.com/regulatory-updates/April-2016/thai-new-labeling
http://www.asiainspection.com/regulatory-updates/April-2016/thai-new-labeling"
TITLE,"Third Party Food Safety Audits | AsiaInspection – Supplier Audits, Inspections & Reports",2,"#
http://www.asiainspection.com/third-party-food-safety-audits
https://www.asiainspection.com/third-party-food-safety-audits"
TITLE,"Top Quality Control Challenges for Blueberry Exporters, Importers and Retailers",2,"#
http://www.asiainspection.com/whitepaper/challenges-for-berries
https://www.asiainspection.com/whitepaper/challenges-for-berries"
TITLE,Toxic Toy Safety Regulations – PVC & Phthalates in Toys | AsiaInspection,2,"#
https://www.asiainspection.com/toy-safety-laboratory-testing
http://www.asiainspection.com/toy-safety-laboratory-testing"
TITLE,Turkey Ministry of Customs and Commerce Issues Toy Safety Regulations,2,"#
https://www.asiainspection.com/regulatory-updates/November-2016/turkey-toy-safety-regulations
http://www.asiainspection.com/regulatory-updates/November-2016/turkey-toy-safety-regulations"
TITLE,US CPSC Adopts ASTM F963-16 Safety Standard for Toys,2,"#
http://www.asiainspection.com/regulatory-updates/February-2017/feb2017-astm-toys
https://www.asiainspection.com/regulatory-updates/February-2017/feb2017-astm-toys"
TITLE,US CPSC Adopts Infant Bath Tubs Standard,2,"#
https://www.asiainspection.com/regulatory-updates/April-2017/apr2017-cpsc-infant-tubs
http://www.asiainspection.com/regulatory-updates/April-2017/apr2017-cpsc-infant-tubs"
TITLE,US CPSC Adopts Infant Sling Carriers Standard,2,"#
https://www.asiainspection.com/regulatory-updates/February-2017/us-cpsc-infant-slings
http://www.asiainspection.com/regulatory-updates/February-2017/us-cpsc-infant-slings"
TITLE,US CPSC Approves New Federal Standard for Infant Bouncer Seat,2,"#
https://www.asiainspection.com/regulatory-updates/September-2017/sept2017-cpsc-new-federal-standard-infant-bouncer
http://www.asiainspection.com/regulatory-updates/September-2017/sept2017-cpsc-new-federal-standard-infant-bouncer"
TITLE,US CPSC Direct Final Rule for Carriages and Strollers Enters into Force,2,"#
https://www.asiainspection.com/regulatory-updates/September-2016/cpsc-carriages-and-strollers
http://www.asiainspection.com/regulatory-updates/September-2016/cpsc-carriages-and-strollers"
TITLE,US CPSC Exempts Certain Plastics from Phthalates Testing,2,"#
http://www.asiainspection.com/regulatory-updates/August-2017/aug2017-cpsc-exempts-plastics-phthalates
https://www.asiainspection.com/regulatory-updates/August-2017/aug2017-cpsc-exempts-plastics-phthalates"
TITLE,US CPSC Final Rule for Portable Hook-On Chairs Enters into Force,2,"#
https://www.asiainspection.com/regulatory-updates/September-2016/cpsc-portable-hook-chairs
http://www.asiainspection.com/regulatory-updates/September-2016/cpsc-portable-hook-chairs"
TITLE,US CPSC Issues Direct Final Rule to Revise Safety Standard for Toddler Beds,2,"#
http://www.asiainspection.com/regulatory-updates/March-2017/mar2017-cpsc-final-rule-toddler-beds
https://www.asiainspection.com/regulatory-updates/March-2017/mar2017-cpsc-final-rule-toddler-beds"
TITLE,US CPSC Issues Discretionary Enforcement Letter Exempting KED Requirements in Certain Projectile Toys,2,"#
https://www.asiainspection.com/regulatory-updates/May-2017/may2017-cpsc-enforcement-letter-projectile-toys
http://www.asiainspection.com/regulatory-updates/May-2017/may2017-cpsc-enforcement-letter-projectile-toys"
TITLE,US CPSC Issues Draft Rulemaking Notice for Determining the Exemption of Certain Untreated and Unfinished Engineered Wood Products,2,"#
http://www.asiainspection.com/regulatory-updates/October-2017/oct2017-us-cpsc-exempt-wood
https://www.asiainspection.com/regulatory-updates/October-2017/oct2017-us-cpsc-exempt-wood"
TITLE,US CPSC Issues Final Rule to Remove Safety Standard for Magnet Sets from CFR,2,"#
https://www.asiainspection.com/regulatory-updates/March-2017/mar2017-cpsc-final-rule-magnet
http://www.asiainspection.com/regulatory-updates/March-2017/mar2017-cpsc-final-rule-magnet"
TITLE,US CPSC Issues Guidance to Manufacturers of Products that May Contain Harmful Flame Retardants,2,"#
https://www.asiainspection.com/regulatory-updates/October-2017/oct2017-us-cpsc-issues-flame-retardants
http://www.asiainspection.com/regulatory-updates/October-2017/oct2017-us-cpsc-issues-flame-retardants"
TITLE,US CPSC Issues Phthalate Exposure Assessment Report,2,"#
https://www.asiainspection.com/regulatory-updates/November-2016/cpsc-phthalate-exposure-assessment-report
http://www.asiainspection.com/regulatory-updates/November-2016/cpsc-phthalate-exposure-assessment-report"
TITLE,US CPSC Proposes Adoption of Baby Changing Product Standard,2,"#
https://www.asiainspection.com/regulatory-updates/October-2016/cpsc-baby-changing-standard
http://www.asiainspection.com/regulatory-updates/October-2016/cpsc-baby-changing-standard"
TITLE,US CPSC Proposes Rule to Adopt Booster Seats Standard,2,"#
http://www.asiainspection.com/regulatory-updates/June-2017/june-2017-cpsc-rule-booster-seats
https://www.asiainspection.com/regulatory-updates/June-2017/june-2017-cpsc-rule-booster-seats"
TITLE,US CPSC Proposes Rule to Adopt Infant Inclined Sleep Products Standard,2,"#
https://www.asiainspection.com/regulatory-updates/April-2017/apr2017-cpsc-infant-sleep-products
http://www.asiainspection.com/regulatory-updates/April-2017/apr2017-cpsc-infant-sleep-products"
TITLE,US CPSC Receives Petition Regarding Amendment of Labeling of Household Products Containing Methylene Chloride,2,"#
http://www.asiainspection.com/regulatory-updates/September-2016/cpsc-petition
https://www.asiainspection.com/regulatory-updates/September-2016/cpsc-petition"
TITLE,US District of Columbia Approves to Amend Human & Environmental Health Protection Act of 2010 Concerning Certain Flame Retardants Prohibition,2,"#
http://www.asiainspection.com/regulatory-updates/April-2016/columbia-flame-retardants
https://www.asiainspection.com/regulatory-updates/April-2016/columbia-flame-retardants"
TITLE,US EPA Amends Composite Wood Products Formaldehyde Standards to Enhance Regulatory Flexibility,2,"#
http://www.asiainspection.com/regulatory-updates/August-2017/aug2017-epa-wood-product-regulation
https://www.asiainspection.com/regulatory-updates/August-2017/aug2017-epa-wood-product-regulation"
TITLE,US EPA Delays Implementation of Composite Wood Products Formaldehyde Standard,2,"#
https://www.asiainspection.com/regulatory-updates/June-2017/june-2017-epa-delays-wood-products-formaldehyde
http://www.asiainspection.com/regulatory-updates/June-2017/june-2017-epa-delays-wood-products-formaldehyde"
TITLE,US EPA Extends Compliance Deadline to Formaldehyde in Composite Wood,2,"#
https://www.asiainspection.com/regulatory-updates/October-2017/oct2017-epa-extends-deadline-formaldehyde
http://www.asiainspection.com/regulatory-updates/October-2017/oct2017-epa-extends-deadline-formaldehyde"
TITLE,US EPA Issues Notices Related to TSCA Findings on New Chemicals,2,"#
http://www.asiainspection.com/regulatory-updates/June-2017/june-2017-epa-tsca-findings-chemicals
https://www.asiainspection.com/regulatory-updates/June-2017/june-2017-epa-tsca-findings-chemicals"
TITLE,US EPA Prohibits Certain Mercury Compounds from Export under Reformed TSCA,2,"#
http://www.asiainspection.com/regulatory-updates/October-2016/epa-prohibits-mercury-export
https://www.asiainspection.com/regulatory-updates/October-2016/epa-prohibits-mercury-export"
TITLE,US EPA Proposes First 10 Chemicals for TSCA Review,2,"#
https://www.asiainspection.com/regulatory-updates/January-2017/epa-chemicals-for-tsca-review
http://www.asiainspection.com/regulatory-updates/January-2017/epa-chemicals-for-tsca-review"
TITLE,US EPA Proposes Prohibition on Two Chemicals: DCM and NMP,2,"#
http://www.asiainspection.com/regulatory-updates/February-2017/epa-dcm-and-nmp
https://www.asiainspection.com/regulatory-updates/February-2017/epa-dcm-and-nmp"
TITLE,US EPA Proposes Regulation for TCE in Vapor Degreasing Under TSCA,2,"#
http://www.asiainspection.com/regulatory-updates/January-2017/epa-regulation-vapor-degreasing
https://www.asiainspection.com/regulatory-updates/January-2017/epa-regulation-vapor-degreasing"
TITLE,"US FCC Reaches $200,000 Settlement in Wi-Fi Router Investigation",2,"#
https://www.asiainspection.com/regulatory-updates/October-2016/fcc-wifi-settlement
http://www.asiainspection.com/regulatory-updates/October-2016/fcc-wifi-settlement"
TITLE,US FDA Issues Final Rule Related to Prohibition of Ingredients in OTC Antiseptic Washes,2,"#
https://www.asiainspection.com/regulatory-updates/October-2016/fda-prohibition-antiseptic
http://www.asiainspection.com/regulatory-updates/October-2016/fda-prohibition-antiseptic"
TITLE,US FDA Publishes Draft Guidance Document for Preparation of Food Contact Notifications,2,"#
https://www.asiainspection.com/regulatory-updates/February-2017/feb2017-fda-food-contact-notifications
http://www.asiainspection.com/regulatory-updates/February-2017/feb2017-fda-food-contact-notifications"
TITLE,US FTC Issues Proposal to Eliminate Certain Word Trademark Requirements in Textile Rules,2,"#
https://www.asiainspection.com/regulatory-updates/August-2017/aug2017-ftc-proposal-certain-word-trademarks
http://www.asiainspection.com/regulatory-updates/August-2017/aug2017-ftc-proposal-certain-word-trademarks"
TITLE,US Overview of Changes in ASTM F963-17 Toy Safety Standard,2,"#
https://www.asiainspection.com/regulatory-updates/September-2017/sept2017-overview-astm-f963-17-toy-safety
http://www.asiainspection.com/regulatory-updates/September-2017/sept2017-overview-astm-f963-17-toy-safety"
TITLE,US Proposes Bill to Ban BPA in Food Containers,2,"#
http://www.asiainspection.com/regulatory-updates/November-2016/us-ban-bpa-food-container
https://www.asiainspection.com/regulatory-updates/November-2016/us-ban-bpa-food-container"
TITLE,US Recalls Summary (January  – February 2017),2,"#
http://www.asiainspection.com/regulatory-updates/March-2017/mar2017-us-recalls-summary
https://www.asiainspection.com/regulatory-updates/March-2017/mar2017-us-recalls-summary"
TITLE,US Recalls Summary (July – August 2016),2,"#
https://www.asiainspection.com/regulatory-updates/September-2016/us-recalls-summary
http://www.asiainspection.com/regulatory-updates/September-2016/us-recalls-summary"
TITLE,US Recalls Summary (March – April 2017),2,"#
https://www.asiainspection.com/regulatory-updates/May-2017/may2017-us-recalls-summary
http://www.asiainspection.com/regulatory-updates/May-2017/may2017-us-recalls-summary"
